Object ID;Beam
140fa82eb0cfdf7cda20ce57fbd4bd59;
18e651f44e5ce5a31824aa2ff99d8a41;T16
1a580c73c79193bdf71c72b49591830e;T13
21b63b6cb1f998a7b088247c44d49e0e;T5
431c2964a0a6da8ccfdaedc369c371aa;T17
45817ab67a06f8bfbb7d212cdc638b3c;T20
46fb626df58e6bff6551c3c0c318be26;T7
4a6574eab6d0526a06960e233f3c9cb0;
4b5159e54ec76c1374417fa9b1aee9ad;T15
6267224287505b5d9f5893cfac81f53e;T19
6f0062fa93a1c4ffab3d4b41a6b13002;T10
6f12348e4fabb9727e92f8860205de6e;T9
81ca6f2a74c96482829915d019830d65;
8bdd7de8e08313ad25160d0e58acae87;T22
8d0fc9955da2c3f7758a8ab51aeee7d7;
92fc42308a01dceec34435747ec53e96;T8
94996d65a99a0367f70b58a36bde1eee;T3
98078c979a5afe80c6bd137eac6a884e;T12
9d97e56401272f80bb516ad4c04a67ad;T6
ba83c43f1801c4c293f773feca4f96a6;T4
c19946135bc508787a93146fef7f1f98;T11
cb3a8095f9d652cb45d7de19b2a15e83;T21
cc750eb428c90dae865be1dce3f4d26c;
d6c68fcd7206bba9b16a4a5171b6205d;T1
e0cf51edcc79d042de47ce3e5c85a9e6;
e844de5c698470340b80ffce5d56566b;T18
e8c0bfe463cfbb68ffb5d13c4b04cdf6;T2
e94b858730b39c4de2519953cde2c4b1;T14
